StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Q2,Q3_28,Q4,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q6,Q7,Q102_28,Q103,Q104_8,Q104_9,Q104_10,Q104_11,Q104_12,Q104_13,Q105,Q106,Q107_28,Q108,Q109_8,Q109_9,Q109_10,Q109_11,Q109_12,Q109_13,Q110,Q111,Q112_28,Q113,Q114_8,Q114_9,Q114_10,Q114_11,Q114_12,Q114_13,Q115,Q116,Q117_28,Q118,Q119_8,Q119_9,Q119_10,Q119_11,Q119_12,Q119_13,Q120,Q121
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please provide your Prolific ID.,Which of the following options better describes your current state?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_28""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID5_13""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID102_28""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104_8""}","{""ImportId"":""QID104_9""}","{""ImportId"":""QID104_10""}","{""ImportId"":""QID104_11""}","{""ImportId"":""QID104_12""}","{""ImportId"":""QID104_13""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_28""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_8""}","{""ImportId"":""QID109_9""}","{""ImportId"":""QID109_10""}","{""ImportId"":""QID109_11""}","{""ImportId"":""QID109_12""}","{""ImportId"":""QID109_13""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112_28""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114_8""}","{""ImportId"":""QID114_9""}","{""ImportId"":""QID114_10""}","{""ImportId"":""QID114_11""}","{""ImportId"":""QID114_12""}","{""ImportId"":""QID114_13""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117_28""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119_8""}","{""ImportId"":""QID119_9""}","{""ImportId"":""QID119_10""}","{""ImportId"":""QID119_11""}","{""ImportId"":""QID119_12""}","{""ImportId"":""QID119_13""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}"
2023-07-03 15:10:13,2023-07-03 15:13:00,IP Address,80.192.183.66,100,167,True,2023-07-03 15:13:01,R_2ZZz5zfck7cWOvv,,,,,51.4017,-0.1624,anonymous,EN,62b48d5013f4aad6df2ebbfa,"Playful, Positive, Emotional",65,Yes,0,0,0,0,0,0,"Yes, acceptable",No,9,No,,0,0,0,10,0,"Yes, acceptable",No,11,No,,0,4,0,10,0,"Yes, acceptable",Yes,27,No,0,,0,0,5,0,"Yes, acceptable",No,0,No,0,,8,0,10,0,"Yes, acceptable",No
2023-07-03 15:10:18,2023-07-03 15:13:29,IP Address,94.4.134.0,100,191,True,2023-07-03 15:13:30,R_2E3S5Fcs9C2j7Tk,,,,,52.9875,-2.1803,anonymous,EN,63d80712701cdd334901a0cf,"Playful, Positive, Emotional",15,No,2,1,8,9,9,6,"Yes, acceptable",No,28,No,1,1,1,5,5,0,"Yes, acceptable",No,17,No,1,1,1,5,1,7,"Yes, acceptable",No,19,No,2,1,1,1,9,7,"Yes, acceptable",No,13,No,2,1,7,3,9,7,"Yes, acceptable",No
2023-07-03 15:11:21,2023-07-03 15:13:55,IP Address,81.77.129.189,100,153,True,2023-07-03 15:13:55,R_2zdpPmeLy5CDn5C,,,,,52.3311,-2.7161,anonymous,EN,5e5c2b9b49abb641a588f59f,"Serious, Negative, Rational",8,No,,0,,,,,"No, unacceptable",No,,No,,,,,,1,"Yes, acceptable",No,5,No,,,,,,,"Yes, acceptable",Yes,0,No,,,,,,,"Yes, acceptable",No,0,No,,,,,,,"Yes, acceptable",No
2023-07-03 15:10:43,2023-07-03 15:14:03,IP Address,79.73.133.72,100,200,True,2023-07-03 15:14:04,R_bvmt0zNFgXbN4Od,,,,,51.536,-0.0925,anonymous,EN,62d5a6bd844e190019414266,"Serious, Negative, Rational",54,No,1,1,2,1,1,1,"Yes, acceptable",No,41,No,1,1,1,1,2,1,"Yes, acceptable",No,20,No,0,0,3,3,5,1,"Yes, acceptable",No,19,Yes,1,1,3,5,7,2,"Yes, acceptable",No,40,No,1,1,5,2,3,1,"Yes, acceptable",No
2023-07-03 15:11:35,2023-07-03 15:14:22,IP Address,82.20.104.223,100,166,True,2023-07-03 15:14:22,R_27v7knw44yGyoVZ,,,,,53.5477,-2.1259,anonymous,EN,5c1cf5690091e40001c82cfc,"Serious, Negative, Rational",10,No,0,0,0,0,0,0,"Yes, acceptable",Yes,19,Yes,0,0,0,0,0,0,"Yes, acceptable",No,20,Yes,0,0,0,0,0,0,"Yes, acceptable",No,30,Yes,0,0,0,0,0,0,"Yes, acceptable",No,0,No,0,0,0,0,0,0,"Yes, acceptable",No
2023-07-03 15:10:47,2023-07-03 15:14:25,IP Address,82.5.29.116,100,218,True,2023-07-03 15:14:25,R_bO3vj3Q74F0t3wZ,,,,,53.4809,-2.2374,anonymous,EN,612634d710d4c6be97dd451e,"Playful, Positive, Emotional",20,Yes,0,0,0,0,0,0,"Yes, acceptable",Yes,4,No,0,0,0,0,5,0,"Yes, acceptable",No,70,Yes,0,0,0,0,0,0,"Yes, acceptable",No,0,No,0,0,0,0,10,0,"Yes, acceptable",No,8,No,0,0,0,0,1,0,"Yes, acceptable",No
2023-07-03 15:12:16,2023-07-03 15:15:30,IP Address,82.24.125.196,100,194,True,2023-07-03 15:15:31,R_1lto5IRPKvcQ9ro,,,,,54.5396,-5.975,anonymous,EN,5c8cdd8f2edaac001790123a,"Playful, Positive, Emotional",31,No,0,1,0,0,6,1,"Yes, acceptable",No,50,No,0,0,0,1,0,0,"Yes, acceptable",No,0,Yes,0,0,0,,10,0,"No, unacceptable",No,6,No,0,0,0,,6,0,"Yes, acceptable",No,5,No,,0,0,0,,,"Yes, acceptable",No
2023-07-03 15:12:52,2023-07-03 15:15:54,IP Address,86.14.168.74,100,182,True,2023-07-03 15:15:55,R_1hSAPu7FzRunJh0,,,,,51.3738,0.4913,anonymous,EN,5c7db93f4855980016a164c1,"Serious, Negative, Rational",5,Yes,0,0,5,5,7,0,"Yes, acceptable",No,0,No,0,0,0,0,0,0,"No, unacceptable",No,25,No,0,0,0,2,1,0,"Yes, acceptable",No,0,No,0,0,5,5,6,0,"Yes, acceptable",No,0,No,0,,0,5,5,5,"No, unacceptable",No
2023-07-03 15:12:03,2023-07-03 15:16:21,IP Address,90.196.223.184,100,258,True,2023-07-03 15:16:22,R_2qmXPCJxrWekDnR,,,,,55.867,-4.2621,anonymous,EN,5efca3c35621a205c4d7168d,"Serious, Negative, Rational",50,No,0,,0,0,3,0,"Yes, acceptable",No,0,No,0,0,0,5,8,0,"Yes, acceptable",No,8,No,0,0,0,0,9,0,"Yes, acceptable",No,40,Yes,0,0,0,0,0,0,"Yes, acceptable",No,70,Yes,0,0,0,0,0,0,"Yes, acceptable",Yes
2023-07-03 15:12:47,2023-07-03 15:16:38,IP Address,31.94.29.151,100,230,True,2023-07-03 15:16:38,R_3MnTcN3Z4pFLgSp,,,,,51.5161,0.0584,anonymous,EN,5d0eed18c04e1e00175402e4,"Serious, Negative, Rational",7,No,0,1,1,1,1,,"Yes, acceptable",No,9,No,2,1,1,1,1,1,"Yes, acceptable",No,16,Yes,0,1,1,2,1,2,"Yes, acceptable",Yes,2,No,0,1,1,1,1,,"Yes, acceptable",No,1,No,1,1,1,1,1,,"Yes, acceptable",No
2023-07-03 15:13:20,2023-07-03 15:16:53,IP Address,176.24.105.204,100,212,True,2023-07-03 15:16:54,R_3IRHRrOQFy9zt6h,,,,,52.6407,-1.1354,anonymous,EN,5b451bf7e3c3b60001666b9b,"Serious, Negative, Rational",0,No,0,0,9,0,0,0,"No, unacceptable",No,35,No,0,0,2,0,2,0,"Yes, acceptable",Yes,0,No,0,0,10,0,0,0,"Yes, acceptable",No,0,No,0,0,0,0,0,0,"Yes, acceptable",No,51,No,0,0,0,7,0,0,"Yes, acceptable",Yes
2023-07-03 15:11:02,2023-07-03 15:16:53,IP Address,217.32.112.120,100,351,True,2023-07-03 15:16:54,R_26mfIM4SwjzI3kt,,,,,51.3574,-1.898,anonymous,EN,6400df61d1a29aefb5a4581d,"Serious, Negative, Rational",45,No,3,4,5,4,4,2,"Yes, acceptable",No,60,Yes,2,4,3,6,1,2,"Yes, acceptable",No,64,Yes,3,4,2,2,1,2,"Yes, acceptable",Yes,29,No,2,2,4,5,3,4,"Yes, acceptable",No,70,Yes,2,5,3,3,1,1,"Yes, acceptable",Yes
2023-07-03 15:14:23,2023-07-03 15:17:19,IP Address,82.10.224.92,100,175,True,2023-07-03 15:17:19,R_3L6Yfam9bquj3t7,,,,,52.2851,-1.511,anonymous,EN,634d73ceddefa71b84e81c05,"Serious, Negative, Rational",67,Yes,,,,,,,"Yes, acceptable",Yes,9,No,,,,,,,"Yes, acceptable",Yes,66,Yes,,,,,,,"Yes, acceptable",Yes,0,No,,,0,,,,"Yes, acceptable",Yes,70,No,,,,,,,"Yes, acceptable",Yes
2023-07-03 15:14:39,2023-07-03 15:17:58,IP Address,90.197.157.20,100,199,True,2023-07-03 15:17:58,R_3Gp4H24uTv5GwYS,,,,,53.4809,-2.2374,anonymous,EN,5ed51cadb2c5c106a6d1f561,"Playful, Positive, Emotional",0,No,0,0,2,0,10,8,"No, unacceptable",No,28,Yes,0,0,6,8,6,7,"Yes, acceptable",No,31,Yes,5,0,0,0,0,0,"Yes, acceptable",Yes,0,No,0,0,3,1,9,,"No, unacceptable",No,1,No,0,0,1,0,5,,"No, unacceptable",No
2023-07-03 15:11:48,2023-07-03 15:18:06,IP Address,86.145.206.119,100,378,True,2023-07-03 15:18:07,R_1K6XKpO7HwtIoAB,,,,,52.4867,-1.8989,anonymous,EN,62a0c15d1fd6dd1dd89054a8,"Playful, Positive, Emotional",27,Yes,0,0,5,10,8,0,"Yes, acceptable",No,0,No,0,10,10,0,10,10,"No, unacceptable",No,80,Yes,0,0,10,10,0,0,"Yes, acceptable",Yes,0,No,10,0,10,10,10,0,"Yes, acceptable",Yes,32,No,0,10,0,0,10,0,"Yes, acceptable",No
2023-07-03 15:11:36,2023-07-03 15:18:28,IP Address,92.15.225.181,100,412,True,2023-07-03 15:18:28,R_1jTGDYgA4KiQbo8,,,,,51.4647,-0.0509,anonymous,EN,5db325a56c8068000db18295,"Serious, Negative, Rational",70,No,0,0,1,0,1,0,"Yes, acceptable",No,84,Yes,0,0,0,0,0,0,"Yes, acceptable",No,65,No,0,1,1,0,2,1,"Yes, acceptable",No,34,No,0,0,0,0,4,0,"Yes, acceptable",No,31,No,0,0,0,0,2,0,"Yes, acceptable",No
2023-07-03 15:10:00,2023-07-03 15:18:32,IP Address,81.129.107.77,100,511,True,2023-07-03 15:18:32,R_74ov3345JgaFKff,,,,,56.0916,-4.7804,anonymous,EN,613e2fc335e6ab45ebcd65f6613e2fc335e6ab45ebcd65f6,"Serious, Negative, Rational",40,No,0,0,0,2,0,0,"Yes, acceptable",No,10,Yes,0,0,0,0,0,0,"Yes, acceptable",No,15,No,0,0,0,4,0,0,"Yes, acceptable",No,10,No,0,0,4,2,2,0,"Yes, acceptable",No,1,No,0,0,0,0,0,0,"No, unacceptable",No
2023-07-03 15:14:41,2023-07-03 15:18:35,IP Address,90.202.53.85,100,234,True,2023-07-03 15:18:36,R_2rvy6iLZVwV2ACi,,,,,51.5597,-0.0528,anonymous,EN,611d3539d562cb43e6156ed7,"Serious, Negative, Rational",60,Yes,4,0,5,3,0,0,"Yes, acceptable",Yes,0,No,0,0,10,5,10,1,"Yes, acceptable",No,0,No,1,5,9,6,8,0,"Yes, acceptable",No,0,No,0,0,10,0,10,0,"Yes, acceptable",No,10,No,0,0,0,0,4,2,"Yes, acceptable",No
2023-07-03 15:10:43,2023-07-03 15:18:46,IP Address,188.214.12.81,100,482,True,2023-07-03 15:18:47,R_OrOXUs2ul50okGB,,,,,51.5095,-0.0955,anonymous,EN,5c6c3ae9c3aa150001144d64,"Serious, Negative, Rational",43,No,,,2,,0,1,"Yes, acceptable",No,48,No,0,0,1,2,,,"Yes, acceptable",No,28,No,1,1,3,1,,2,"Yes, acceptable",Yes,55,No,3,1,1,1,,,"Yes, acceptable",No,19,No,1,1,,1,,0,"Yes, acceptable",Yes
2023-07-03 15:12:17,2023-07-03 15:19:38,IP Address,92.25.14.21,100,440,True,2023-07-03 15:19:38,R_3htFs7XW5apZRi4,,,,,51.2604,-1.0825,anonymous,EN,611b89a612e97e3269208cb4,"Serious, Negative, Rational",31,No,2,2,5,5,4,2,"Yes, acceptable",No,39,No,2,2,5,3,3,1,"Yes, acceptable",No,30,No,2,3,4,2,5,2,"Yes, acceptable",No,60,No,0,0,9,1,1,0,"Yes, acceptable",No,29,No,0,0,2,2,1,0,"Yes, acceptable",No
2023-07-03 15:14:50,2023-07-03 15:20:26,IP Address,84.64.204.149,100,336,True,2023-07-03 15:20:27,R_2zYEqPUzeGyr6CS,,,,,53.4809,-2.2374,anonymous,EN,6310a3d8a66b8aa7547415c6,"Playful, Positive, Emotional",20,No,,,,5,1,,"Yes, acceptable",Yes,,No,,,,,6,,"No, unacceptable",No,30,No,,,,,1,,"Yes, acceptable",No,2,No,,,,,2,,"Yes, acceptable",No,60,Yes,,,,2,,,"Yes, acceptable",No
2023-07-03 15:14:17,2023-07-03 15:20:39,IP Address,94.15.31.233,100,381,True,2023-07-03 15:20:40,R_ssWNBdkZynRutzj,,,,,53.7302,-1.8432,anonymous,EN,5ca7d3b00adbf40001d83842,"Playful, Positive, Emotional",53,No,7,1,1,1,,1,"Yes, acceptable",No,20,No,8,1,1,1,4,1,"Yes, acceptable",No,10,No,0,0,0,0,0,0,"Yes, acceptable",No,52,Yes,5,0,0,1,0,0,"Yes, acceptable",Yes,19,No,0,0,,0,0,0,"Yes, acceptable",No
2023-07-03 15:11:42,2023-07-03 15:22:18,IP Address,73.129.149.243,100,635,True,2023-07-03 15:22:18,R_1LvXw5g4FcCuyuq,,,,,38.9994,-77.0336,anonymous,EN,5a1c2057074b190001252f85,"Playful, Positive, Emotional",40,No,0,0,0,5,0,0,"Yes, acceptable",No,50,Yes,0,0,0,0,0,0,"Yes, acceptable",Yes,0,Yes,0,0,10,0,10,10,"No, unacceptable",No,20,Yes,0,0,5,0,5,0,"Yes, acceptable",No,80,Yes,0,0,0,0,0,0,"Yes, acceptable",No
2023-07-03 15:16:12,2023-07-03 15:22:24,IP Address,90.204.239.215,100,371,True,2023-07-03 15:22:24,R_vqsCIht5Ws3Pc9b,,,,,54.6975,-1.2179,anonymous,EN,5d403859c857740017c8c420,"Playful, Positive, Emotional",78,Yes,,,,0,,,"Yes, acceptable",No,56,No,,0,,,,,"Yes, acceptable",No,65,Yes,,,,,,,"Yes, acceptable",No,47,Yes,,,0,,0,,"Yes, acceptable",No,11,No,0,,,,0,,"Yes, acceptable",No
2023-07-03 15:15:38,2023-07-03 15:23:00,IP Address,86.152.44.55,100,441,True,2023-07-03 15:23:01,R_2Xj9pXFfoCWxROg,,,,,51.5708,-0.1033,anonymous,EN,63dd357788207bf7c2588ea1,"Serious, Negative, Rational",9,No,2,,,,,,"Yes, acceptable",Yes,0,Yes,,,10,,3,,"Yes, acceptable",Yes,1,No,,,3,,4,,"Yes, acceptable",Yes,30,No,,,,,,,"Yes, acceptable",No,,No,,,,,,,"Yes, acceptable",No
2023-07-06 12:37:20,2023-07-06 12:40:12,IP Address,84.71.5.73,100,171,True,2023-07-06 12:40:12,R_1opABWrFijKSZQd,,,,,51.2344,-0.3336,anonymous,EN,5f429571510f2a0b9dc3fa8a,"Playful, Positive, Emotional",20,No,0,0,0,0,0,0,"Yes, acceptable",No,2,No,0,0,0,0,0,0,"Yes, acceptable",No,3,No,0,0,0,0,0,0,"Yes, acceptable",No,0,No,0,0,0,0,0,0,"Yes, acceptable",No,0,No,0,0,0,0,0,0,"Yes, acceptable",No
2023-07-06 12:38:38,2023-07-06 12:45:16,IP Address,2.121.182.217,100,398,True,2023-07-06 12:45:17,R_10Tx7mwwS16XmP9,,,,,55.9552,-3.2,anonymous,EN,5f85b584613f43056da215b3,"Playful, Positive, Emotional",5,No,0,0,0,0,1,0,"Yes, acceptable",No,20,No,1,1,2,1,2,1,"Yes, acceptable",No,74,Yes,0,1,1,3,8,9,"Yes, acceptable",Yes,0,No,0,0,0,0,0,5,"No, unacceptable",No,35,Yes,0,0,0,2,8,1,"Yes, acceptable",Yes
2023-07-09 13:49:58,2023-07-09 13:52:47,IP Address,82.17.0.92,100,169,True,2023-07-09 13:52:48,R_3dSL0LtIT2RBkTT,,,,,51.4648,-0.0373,anonymous,EN,5d9b7da0d3cea303b40f4bb1,"Serious, Negative, Rational",10,No,1,1,1,5,6,2,"Yes, acceptable",No,9,No,1,1,1,2,5,1,"Yes, acceptable",Yes,41,Yes,1,1,1,1,3,0,"Yes, acceptable",Yes,8,No,1,1,1,1,1,1,"Yes, acceptable",Yes,15,No,1,1,1,1,5,1,"Yes, acceptable",Yes
